End_Date,Count,Change
2021-10-01,770,0
2021-10-02,770,0
2021-10-03,770,0
2021-10-04,771,1
2021-10-05,771,0
2021-10-06,772,1
2021-10-07,772,0
2021-10-08,772,0
2021-10-09,772,0
2021-10-10,772,0
2021-10-11,772,0
2021-10-12,775,3
2021-10-13,783,8
2021-10-14,783,0
2021-10-15,783,0
2021-10-16,783,0
2021-10-17,783,0
2021-10-18,783,0
2021-10-19,784,1
2021-10-20,785,1
2021-10-21,794,9
2021-10-22,795,1
2021-10-23,795,0
2021-10-24,795,0
2021-10-25,797,2
2021-10-26,797,0
2021-10-27,797,0
2021-10-28,797,0
2021-10-29,797,0
2021-10-30,797,0
2021-10-31,797,0
2021-11-01,798,1
2021-11-02,801,3
2021-11-03,809,8
2021-11-04,809,0
2021-11-05,810,1
2021-11-06,810,0
2021-11-07,810,0
2021-11-08,814,4
2021-11-09,816,2
2021-11-10,816,0
2021-11-11,816,0
2021-11-12,816,0
2021-11-13,816,0
2021-11-14,816,0
2021-11-15,816,0
2021-11-16,817,1
2021-11-17,822,5
2021-11-18,822,0
2021-11-19,822,0
2021-11-20,822,0
2021-11-21,822,0
2021-11-22,823,1
2021-11-23,826,3
2021-11-24,827,1
2021-11-25,827,0
2021-11-26,827,0
2021-11-27,827,0
2021-11-28,827,0
2021-11-29,833,6
2021-11-30,833,0
2021-12-01,834,1
2021-12-02,836,2
2021-12-03,838,2
2021-12-04,838,0
2021-12-05,838,0
2021-12-06,839,1
2021-12-07,839,0
2021-12-08,839,0
2021-12-09,839,0
2021-12-10,843,4
2021-12-11,843,0
2021-12-12,843,0
2021-12-13,845,2
2021-12-14,845,0
2021-12-15,846,1
2021-12-16,851,5
2021-12-17,855,4
2021-12-18,855,0
2021-12-19,855,0
2021-12-20,864,9
2021-12-21,865,1
2021-12-22,866,1
2021-12-23,866,0
2021-12-24,866,0
2021-12-25,866,0
2021-12-26,866,0
2021-12-27,866,0
2021-12-28,866,0
2021-12-29,866,0
2021-12-30,869,3
2021-12-31,869,0
2022-01-01,869,0
2022-01-02,869,0
2022-01-03,876,7
2022-01-04,882,6
2022-01-05,888,6
2022-01-06,892,4
2022-01-07,898,6
2022-01-08,898,0
2022-01-09,898,0
2022-01-10,899,1
2022-01-11,902,3
2022-01-12,905,3
2022-01-13,905,0
2022-01-14,905,0
2022-01-15,905,0
2022-01-16,905,0
2022-01-17,905,0
2022-01-18,909,4
2022-01-19,910,1
2022-01-20,914,4
2022-01-21,923,9
2022-01-22,923,0
2022-01-23,923,0
2022-01-24,926,3
2022-01-25,927,1
2022-01-26,928,1
2022-01-27,931,3
2022-01-28,931,0
2022-01-29,931,0
2022-01-30,931,0
2022-01-31,938,7
2022-02-01,944,6
2022-02-02,950,6
2022-02-03,961,11
2022-02-04,962,1
2022-02-05,962,0
2022-02-06,962,0
2022-02-07,962,0
2022-02-08,963,1
2022-02-09,969,6
2022-02-10,969,0
2022-02-11,969,0
2022-02-12,969,0
2022-02-13,969,0
2022-02-14,972,3
2022-02-15,982,10
2022-02-16,984,2
2022-02-17,985,1
2022-02-18,988,3
2022-02-19,988,0
2022-02-20,988,0
2022-02-21,988,0
2022-02-22,993,5
2022-02-23,994,1
2022-02-24,998,4
2022-02-25,998,0
2022-02-26,998,0
2022-02-27,998,0
2022-02-28,999,1
2022-03-01,1003,4
2022-03-02,1003,0
2022-03-03,1008,5
2022-03-04,1013,5
2022-03-05,1013,0
2022-03-06,1013,0
2022-03-07,1014,1
2022-03-08,1022,8
2022-03-09,1024,2
2022-03-10,1027,3
2022-03-11,1034,7
2022-03-12,1034,0
