End_Date,Count,Change
2021-10-01,3,0
2021-10-02,3,0
2021-10-03,3,0
2021-10-04,3,0
2021-10-05,3,0
2021-10-06,11,8
2021-10-07,11,0
2021-10-08,11,0
2021-10-09,11,0
2021-10-10,11,0
2021-10-11,11,0
2021-10-12,11,0
2021-10-13,11,0
2021-10-14,11,0
2021-10-15,11,0
2021-10-16,11,0
2021-10-17,11,0
2021-10-18,11,0
2021-10-19,18,7
2021-10-20,18,0
2021-10-21,18,0
2021-10-22,19,1
2021-10-23,19,0
2021-10-24,19,0
2021-10-25,20,1
2021-10-26,20,0
2021-10-27,20,0
2021-10-28,20,0
2021-10-29,20,0
2021-10-30,20,0
2021-10-31,20,0
2021-11-01,20,0
2021-11-02,20,0
2021-11-03,20,0
2021-11-04,20,0
2021-11-05,20,0
2021-11-06,20,0
2021-11-07,20,0
2021-11-08,20,0
2021-11-09,20,0
2021-11-10,20,0
2021-11-11,20,0
2021-11-12,20,0
2021-11-13,20,0
2021-11-14,20,0
2021-11-15,20,0
2021-11-16,20,0
2021-11-17,25,5
2021-11-18,27,2
2021-11-19,27,0
2021-11-20,27,0
2021-11-21,27,0
2021-11-22,27,0
2021-11-23,27,0
2021-11-24,27,0
2021-11-25,27,0
2021-11-26,27,0
2021-11-27,27,0
2021-11-28,27,0
2021-11-29,27,0
2021-11-30,29,2
2021-12-01,31,2
2021-12-02,31,0
2021-12-03,31,0
2021-12-04,31,0
2021-12-05,31,0
2021-12-06,31,0
2021-12-07,31,0
2021-12-08,31,0
2021-12-09,31,0
2021-12-10,31,0
2021-12-11,31,0
2021-12-12,31,0
2021-12-13,31,0
2021-12-14,31,0
2021-12-15,31,0
2021-12-16,31,0
2021-12-17,31,0
2021-12-18,31,0
2021-12-19,31,0
2021-12-20,31,0
2021-12-21,31,0
2021-12-22,31,0
2021-12-23,31,0
2021-12-24,31,0
2021-12-25,31,0
2021-12-26,31,0
2021-12-27,31,0
2021-12-28,31,0
2021-12-29,31,0
2021-12-30,31,0
2021-12-31,31,0
2022-01-01,31,0
2022-01-02,31,0
2022-01-03,37,6
2022-01-04,39,2
2022-01-05,48,9
2022-01-06,48,0
2022-01-07,48,0
2022-01-08,48,0
2022-01-09,48,0
2022-01-10,58,10
2022-01-11,58,0
2022-01-12,58,0
2022-01-13,58,0
2022-01-14,58,0
2022-01-15,58,0
2022-01-16,58,0
2022-01-17,58,0
2022-01-18,58,0
2022-01-19,58,0
2022-01-20,58,0
2022-01-21,58,0
2022-01-22,58,0
2022-01-23,58,0
2022-01-24,58,0
2022-01-25,58,0
2022-01-26,58,0
2022-01-27,58,0
2022-01-28,58,0
2022-01-29,58,0
2022-01-30,58,0
2022-01-31,58,0
2022-02-01,58,0
2022-02-02,58,0
2022-02-03,58,0
2022-02-04,59,1
2022-02-05,59,0
2022-02-06,59,0
2022-02-07,59,0
2022-02-08,59,0
2022-02-09,59,0
2022-02-10,59,0
2022-02-11,59,0
2022-02-12,59,0
2022-02-13,59,0
2022-02-14,59,0
2022-02-15,60,1
2022-02-16,60,0
2022-02-17,60,0
2022-02-18,60,0
2022-02-19,60,0
2022-02-20,60,0
2022-02-21,60,0
2022-02-22,60,0
2022-02-23,60,0
2022-02-24,62,2
2022-02-25,62,0
2022-02-26,62,0
2022-02-27,62,0
2022-02-28,62,0
2022-03-01,62,0
2022-03-02,62,0
2022-03-03,63,1
2022-03-04,63,0
2022-03-05,63,0
2022-03-06,63,0
2022-03-07,63,0
2022-03-08,63,0
2022-03-09,69,6
2022-03-10,69,0
2022-03-11,69,0
2022-03-12,69,0
