CaseNum,Status,Date,Generated_at,Status_Short
1990162360,Case Was Approved,"September 13, 2021",,4-Approved
1990247982,RFE Sent,"September 13, 2021",,2a-RFE
1990288109,Expedite Request Denied,"September 13, 2021",,2b-Expedite
1990162360,Card Was Mailed To Me,"September 14, 2021",,4-Approved
1990169770,Fingerprints Taken,"September 14, 2021",,1-Fingerprint-taken
1990328207,Card Was Mailed To Me,"September 14, 2021",,4-Approved
1990334218,Card Was Mailed To Me,"September 14, 2021",,4-Approved
1990334221,Card Was Mailed To Me,"September 14, 2021",,4-Approved
1990069807,New Card Is Being Produced,"September 15, 2021",,4-Approved
1990315902,New Card Is Being Produced,"September 15, 2021",,4-Approved
1990315904,New Card Is Being Produced,"September 15, 2021",,4-Approved
1990315906,New Card Is Being Produced,"September 15, 2021",,4-Approved
1990315908,New Card Is Being Produced,"September 15, 2021",,4-Approved
1990069807,Case Was Approved,"September 16, 2021",,4-Approved
1990162360,Card Was Delivered,"September 16, 2021",,4-Approved
1990169767,RFE Responded,"September 16, 2021",,2a-RFE
1990169770,RFE Responded,"September 16, 2021",,2a-RFE
1990169773,RFE Responded,"September 16, 2021",,2a-RFE
1990297373,New Card Is Being Produced,"September 16, 2021",,4-Approved
1990315902,Case Was Approved,"September 16, 2021",,4-Approved
1990315904,Case Was Approved,"September 16, 2021",,4-Approved
1990315906,Case Was Approved,"September 16, 2021",,4-Approved
1990315908,Case Was Approved,"September 16, 2021",,4-Approved
1990318682,RFE Sent,"September 16, 2021",,2a-RFE
1990318685,RFE Sent,"September 16, 2021",,2a-RFE
1990318688,RFE Sent,"September 16, 2021",,2a-RFE
1990327200,Case Closed Benefit Received By Other Means,"September 16, 2021",,7-Withdrawn
1990327203,Case Closed Benefit Received By Other Means,"September 16, 2021",,7-Withdrawn
1990008039,Card Was Mailed To Me,"September 17, 2021",,4-Approved
1990069807,Card Was Mailed To Me,"September 17, 2021",,4-Approved
1990072511,RFE Responded,"September 17, 2021",,2a-RFE
1990127683,Notice Explaining USCIS Actions Was Mailed,"September 17, 2021",,9-Others
1990128342,Notice Explaining USCIS Actions Was Mailed,"September 17, 2021",,9-Others
1990297373,Case Was Approved,"September 17, 2021",,4-Approved
1990310344,New Card Is Being Produced,"September 17, 2021",,4-Approved
1990315902,Card Was Mailed To Me,"September 17, 2021",,4-Approved
1990315906,Card Was Mailed To Me,"September 17, 2021",,4-Approved
1990315908,Card Was Mailed To Me,"September 17, 2021",,4-Approved
1990328207,Card Was Delivered,"September 17, 2021",,4-Approved
1990334218,Card Was Delivered,"September 17, 2021",,4-Approved
1990334221,Card Was Delivered,"September 17, 2021",,4-Approved
1990315904,Card Was Mailed To Me,"September 20, 2021",,4-Approved
1990172866,Case Was Transferred,"September 21, 2021",,0-Received
1990297373,Card Was Mailed To Me,"September 21, 2021",,4-Approved
1990310344,Case Was Approved,"September 21, 2021",,4-Approved
1990315902,Card Was Delivered,"September 21, 2021",,4-Approved
1990315906,Card Was Delivered,"September 21, 2021",,4-Approved
1990315908,Card Was Delivered,"September 21, 2021",,4-Approved
1990001982,Interview Was Completed,"September 23, 2021",,3-Interview
1990008039,Card Was Delivered,"September 22, 2021",,4-Approved
1990069807,Card Was Delivered,"September 22, 2021",,4-Approved
1990132062,New Card Is Being Produced,"September 22, 2021",,4-Approved
1990310344,Card Was Mailed To Me,"September 22, 2021",,4-Approved
1990315904,Card Was Delivered,"September 22, 2021",,4-Approved
1990327626,Case Was Transferred,"September 22, 2021",,0-Received
1990334960,RFE Responded,"September 22, 2021",,2a-RFE
1990017563,New Card Is Being Produced,"September 23, 2021",,4-Approved
1990132062,Case Was Approved,"September 23, 2021",,4-Approved
1990323738,Fingerprints Taken,"September 23, 2021",,1-Fingerprint-taken
1990318214,Fingerprints Taken,"September 24, 2021",,1-Fingerprint-taken
1990321359,Fingerprints Taken,"September 24, 2021",,1-Fingerprint-taken
1990321362,Fingerprints Taken,"September 24, 2021",,1-Fingerprint-taken
1990322118,Fingerprints Taken,"September 24, 2021",,1-Fingerprint-taken
1990323712,Fingerprints Taken,"September 24, 2021",,1-Fingerprint-taken
1990323759,Fingerprints Taken,"September 24, 2021",,1-Fingerprint-taken
1990324767,Fingerprints Taken,"September 24, 2021",,1-Fingerprint-taken
1990288103,Fingerprints Taken,"September 25, 2021",,1-Fingerprint-taken
1990297373,Card Was Delivered,"September 25, 2021",,4-Approved
1990017563,Case Was Approved,"September 27, 2021",,4-Approved
1990169767,New Card Is Being Produced,"September 27, 2021",,4-Approved
1990169770,New Card Is Being Produced,"September 27, 2021",,4-Approved
