CaseNum,Status,Date,Generated_at,Status_Short
1990245252,RFE Responded,"December 15, 2021",,2a-RFE
1990288111,Card Was Delivered,"December 15, 2021",,4-Approved
1990288114,Card Was Delivered,"December 15, 2021",,4-Approved
1990288117,Card Was Delivered,"December 15, 2021",,4-Approved
1990288120,Card Was Delivered,"December 15, 2021",,4-Approved
1990338780,Case Was Denied,"December 15, 2021",,4-Denied
1990338782,Case Was Denied,"December 15, 2021",,4-Denied
1990338784,Case Was Denied,"December 15, 2021",,4-Denied
1990338786,Case Was Denied,"December 15, 2021",,4-Denied
1990018585,Case Was Approved,"December 16, 2021",,4-Approved
1990111045,RFE Responded,"December 16, 2021",,2a-RFE
1990284788,Card Was Delivered,"December 16, 2021",,4-Approved
1990284791,Card Was Delivered,"December 16, 2021",,4-Approved
1990284794,Card Was Delivered,"December 16, 2021",,4-Approved
1990284797,Card Was Delivered,"December 16, 2021",,4-Approved
1990128342,RFE Responded,"December 17, 2021",,2a-RFE
1990300844,Case Was Transferred,"December 17, 2021",,0-Received
